topic_id	course_id	course_name	course_date	course_title	course_description	course_language	course_difficulty	course_duration_hours	course_author	course_partner	course_illustration	course_is_certified	course_url	course_activities_count	course_exercises_count
1	4929811	maitrisez-les-fondamentaux-dexcel	03/06/2021	Maîtrisez les fondamentaux d'Excel	La maîtrise des fonctionnalités d'Excel est souvent indispensable. Prenez en main le logiciel puis allez plus loin avec les tableaux, les formules et les tableaux croisés dynamiques !	fr	Facile	8.0	Claire Lejewski|Nathalie Turck		https://oc-course.imgix.net/courses/4929811/4929811_teaser_picture_1622112062.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel	0	2
1	5870121	realisez-un-diaporama-pour-accompagner-votre-presentation	29/03/2021	Réalisez un diaporama pour accompagner votre présentation	Que ce soit PowerPoint, OpenOffice Impress ou Google Slides, utilisez un logiciel permettant de créer un diaporama de présentation.	fr	Facile	6.0	Catherine Coudray		https://oc-course.imgix.net/courses/5870121/5870121_teaser_picture_1617011944.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation	0	2
1	5870066	initiez-vous-au-traitement-de-texte	27/05/2021	Initiez-vous au traitement de texte	Que ce soit sur Word, OpenOffice Writer ou Google Docs, apprenez le traitement de texte. Vous utiliserez les fonctionnalités de base et réaliserez une mise en page professionnelle !	fr	Facile	12.0	Christophe Vallot|Agnes Lamarche		https://oc-course.imgix.net/courses/5870066/5870066_teaser_picture_1622107544.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte	0	3
1	5737801	faites-vos-premiers-pas-sur-ordinateur	15/12/2020	Faites vos premiers pas sur ordinateur	Le numérique est omniprésent dans notre quotidien. Si vous voulez apprendre à utiliser un ordinateur, vous repérer parmi les éléments du bureau et créer du contenu avec des logiciels, laissez-vous guider !	fr	Facile	6.0	Valentine De Dreuille		https://oc-course.imgix.net/courses/5737801/5737801_teaser_picture_1572432432.jpg%3Fr%3Dpad?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur	0	2
1	5870011	naviguez-sur-internet	15/12/2020	Naviguez sur Internet	Rechercher de l'information sur un moteur de recherche, utiliser un service en ligne, se repérer sur un site... Si vous souhaitez apprendre à naviguer sur Internet, suivez ce cours !	fr	Facile	6.0	Valentine De Dreuille		https://oc-course.imgix.net/courses/5870011/5870011_teaser_picture_1554274587.jpg%3Fr%3Dpad?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet	0	2
1	5870206	decouvrez-les-bases-de-la-securite-numerique	12/04/2021	Découvrez les bases de la sécurité numérique	Apprenez à sécuriser votre ordinateur et votre navigation sur Internet, en utilisant des mots de passe robustes, en protégeant l'atteinte à la vie privée en ligne, en reconnaissant les tentatives de fraude.	fr	Facile	6.0	Claire Castello		https://oc-course.imgix.net/courses/5870206/5870206_teaser_picture_1614872076.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique	0	2
1	5870131	communiquez-en-utilisant-les-outils-numeriques	29/11/2019	Communiquez en utilisant les outils numériques	Vous souhaitez communiquer grâce à Internet ? Suivez ce cours pour apprendre à rédiger des emails, échanger sur un réseau social, utiliser un outil de visioconférence, ou collaborer sur un document en ligne !	fr	Facile	8.0	Catherine Coudray		https://oc-course.imgix.net/courses/5870131/5870131_teaser_picture_1570203726.jpg%3Fr%3Dpad?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques	0	2
1	7168336	maitrisez-les-fondamentaux-dexcel	01/06/2021	Maîtrisez les fondamentaux d'Excel	La maîtrise des fonctionnalités d'Excel est souvent indispensable. Prenez en main le logiciel puis allez plus loin avec les tableaux, les formules et les tableaux croisés dynamiques !	fr	Facile	6.0	Claire Lejewski|Yves Nagy|Damien Coulbault		https://oc-course.imgix.net/courses/7168336/7168336_teaser_picture_1622467211.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel	0	3
1	825502	analysez-des-donnees-avec-excel	22/03/2021	Analysez des données avec Excel		fr	Facile	6.0	Baptiste Fougeray|Blaise Barré		https://oc-course.imgix.net/courses/0/825502.png?auto=compress,format&q=80	0	https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel	0	0
2	5191546	construisez-un-business-plan	22/03/2021	Construisez un business plan	Le business plan vise à convaincre et à mobiliser en présentant la vision, le positionnement, la stratégie et le plan de développement de votre projet. Suivez ce cours pour concevoir le vôtre !	fr	Moyenne	10.0	Luc Walrafen|Thomas Orsini		https://oc-course.imgix.net/courses/5191546/5191546_teaser_picture_1614872012.jpg?auto=compress,format&q=80	1	https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan	0	2
