course_id	part_number	chapter_id	chapter_number	chapter_name	chapter_title	chapter_description	chapter_url
4929811	1	5380291	1	renommez-les-cellules	Renommez les cellules		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5380291-renommez-les-cellules
4929811	1	5380296	2	recopiez-des-cellules	Recopiez des cellules		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5380296-recopiez-des-cellules
4929811	1	5380301	3	utilisez-la-saisie-automatique	Utilisez la saisie automatique		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5380301-utilisez-la-saisie-automatique
4929811	2	4929818	1	manipulez-les-lignes-et-les-colonnes	Manipulez les lignes et les colonnes		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/4929818-manipulez-les-lignes-et-les-colonnes
4929811	2	5197246	2	manipulez-les-onglets	Manipulez les onglets		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5197246-manipulez-les-onglets
4929811	2	5203206	3	mettez-en-page-votre-fichier	Mettez en page votre fichier		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5203206-mettez-en-page-votre-fichier
4929811	2	5380356	4	utilisez-la-mise-en-forme-conditionnelle	Utilisez la mise en forme conditionnelle		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5380356-utilisez-la-mise-en-forme-conditionnelle
4929811	2	5203361	5	utilisez-les-fonctionnalites-de-filtre-et-de-tri	Utilisez les fonctionnalités de filtre et de tri		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5203361-utilisez-les-fonctionnalites-de-filtre-et-de-tri
4929811	3	5204416	1	realisez-des-calculs-grace-aux-formules	Réalisez des calculs grâce aux formules		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5204416-realisez-des-calculs-grace-aux-formules
4929811	3	5220331	2	autorisez-ou-interdisez-la-saisie-de-certaines-donnees	Autorisez ou interdisez la saisie de certaines données		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5220331-autorisez-ou-interdisez-la-saisie-de-certaines-donnees
4929811	3	5381891	3	utilisez-les-valeurs-cibles	Utilisez les valeurs cibles		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5381891-utilisez-les-valeurs-cibles
4929811	3	5220621	4	realisez-des-tableaux-croises-dynamiques	Réalisez des tableaux croisés dynamiques		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5220621-realisez-des-tableaux-croises-dynamiques
4929811	3	5221761	5	creez-des-graphiques	Créez des graphiques		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/5221761-creez-des-graphiques
4929811	3	6779956	6	entrainez-vous-en-traitant-des-donnees-avec-excel	Entraînez-vous en traitant des données avec Excel		https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel/6779956-entrainez-vous-en-traitant-des-donnees-avec-excel
5870121	1	5870128	1	choisissez-les-contenus-de-votre-presentation	Choisissez les contenus de votre présentation		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/5870128-choisissez-les-contenus-de-votre-presentation
5870121	1	6370576	2	decouvrez-des-bonnes-pratiques-de-mise-en-page	Découvrez des bonnes pratiques de mise en page		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6370576-decouvrez-des-bonnes-pratiques-de-mise-en-page
5870121	1	6647291	3	prenez-en-main-un-logiciel-de-presentation	Prenez en main un logiciel de présentation		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6647291-prenez-en-main-un-logiciel-de-presentation
5870121	2	6370596	1	construisez-votre-diaporama-et-vos-diapositives	Construisez votre diaporama et vos diapositives		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6370596-construisez-votre-diaporama-et-vos-diapositives
5870121	2	6370591	2	parametrez-votre-diaporama	Paramétrez votre diaporama		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6370591-parametrez-votre-diaporama
5870121	2	6370611	3	dynamisez-votre-diaporama-avec-des-animations-et-transitions	Dynamisez votre diaporama avec des animations et transitions		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6370611-dynamisez-votre-diaporama-avec-des-animations-et-transitions
5870121	2	6370601	4	utilisez-votre-support-face-a-un-public	Utilisez votre support face à un public		https://openclassrooms.com/fr/courses/5870121-realisez-un-diaporama-pour-accompagner-votre-presentation/6370601-utilisez-votre-support-face-a-un-public
5870066	1	6097586	1	decouvrez-le-perimetre-dusage-du-traitement-de-texte	Découvrez le périmètre d'usage du traitement de texte		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6097586-decouvrez-le-perimetre-dusage-du-traitement-de-texte
5870066	1	6105981	2	choisissez-votre-logiciel-parmi-loffre-du-marche	Choisissez votre logiciel parmi l'offre du marché		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6105981-choisissez-votre-logiciel-parmi-loffre-du-marche
5870066	1	6106166	3	definissez-le-format-d-enregistrement-approprie	Définissez le format d’enregistrement approprié		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106166-definissez-le-format-d-enregistrement-approprie
5870066	1	6106316	4	respectez-les-regles-de-la-propriete-intellectuelle	Respectez les règles de la propriété intellectuelle		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106316-respectez-les-regles-de-la-propriete-intellectuelle
5870066	2	6106376	1	creez-un-nouveau-document	Créez un nouveau document		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106376-creez-un-nouveau-document
5870066	2	6106836	2	utilisez-les-techniques-de-selection-et-deplacement	Utilisez les techniques de sélection et déplacement		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106836-utilisez-les-techniques-de-selection-et-deplacement
5870066	2	6106621	3	mettez-en-forme-votre-texte	Mettez en forme votre texte		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106621-mettez-en-forme-votre-texte
5870066	2	6106831	4	illustrez-votre-document	Illustrez votre document		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6106831-illustrez-votre-document
5870066	2	6107121	5	mettez-en-page-votre-document	Mettez en page votre document		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6107121-mettez-en-page-votre-document
5870066	2	6108476	6	gerez-l-impression-de-votre-document	Gérez l’impression de votre document		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6108476-gerez-l-impression-de-votre-document
5870066	2	6737026	7	entrainez-vous-en-creant-un-document-de-communication-interne	Entraînez-vous en créant un document de communication interne		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6737026-entrainez-vous-en-creant-un-document-de-communication-interne
5870066	3	6108806	1	parametrez-linterface-de-votre-traitement-de-texte	Paramétrez l'interface de votre traitement de texte		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6108806-parametrez-linterface-de-votre-traitement-de-texte
5870066	3	6108841	2	optimisez-la-mise-en-forme-de-votre-document	Optimisez la mise en forme de votre document		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6108841-optimisez-la-mise-en-forme-de-votre-document
5870066	3	6116211	3	inserez-une-table-des-matieres	Insérez une table des matières		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6116211-inserez-une-table-des-matieres
5870066	3	6116266	4	allez-plus-loin-avec-votre-traitement-de-texte	Allez plus loin avec votre traitement de texte		https://openclassrooms.com/fr/courses/5870066-initiez-vous-au-traitement-de-texte/6116266-allez-plus-loin-avec-votre-traitement-de-texte
5737801	1	5890461	1	utilisez-un-ordinateur-fixe-ou-portable	Utilisez un ordinateur fixe ou portable		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890461-utilisez-un-ordinateur-fixe-ou-portable
5737801	1	5890462	2	utilisez-des-peripheriques-externes	Utilisez des périphériques externes		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890462-utilisez-des-peripheriques-externes
5737801	1	5890463	3	manipulez-la-souris-et-le-clavier	Manipulez la souris et le clavier		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890463-manipulez-la-souris-et-le-clavier
5737801	2	5890465	1	ouvrez-une-session-sur-votre-ordinateur	Ouvrez une session sur votre ordinateur		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890465-ouvrez-une-session-sur-votre-ordinateur
