course_id	skill
7168336	Prendre en main votre fichier Excel.
7168336	Mettre en page votre fichier Excel.
7168336	Manipuler des données sur Excel.
7139456	Créer un tableau de données sur Excel.
7139456	Réaliser votre tableau de bord.
7139456	Traiter les données de votre tableau de bord
5870066	maîtriser les fondamentaux d’un traitement de texte ;
5870066	utiliser les fonctionnalités de base du traitement de texte ;
5870066	optimiser votre productivité.
5870121	choisir des contenus appropriés pour un diaporama ;
5870121	créer un document de présentation en autonomie ;
5870121	appliquer les bonnes pratiques de mise en page d'un document de présentation ;
5870121	lister les bonnes pratiques de présentation d'un diaporama devant un auditoire.
5737801	Utiliser du matériel informatique
5737801	Vous repérer sur votre bureau
5737801	Créer du contenu sur votre ordinateur
7137761	Communiquer par mail
7137761	Gagner en efficacité en triant vos mails
7137761	Gérer votre calendrier
7137761	Gérer vos contacts
7137761	Gérer votre activité
5870011	Utiliser des services en ligne
5870011	Utiliser un moteur de recherche pour trouver de l'information
5870131	choisir un outil numérique de communication adapté ;
5870131	repérer une fausse identité, un faux profil et un bot ;
5870131	utiliser un réseau social en respectant ses usages ;
5870131	collaborer en ligne grâce à des outils spécifiques.
4750821	Définir et optimiser une stratégie commerciale
4750821	Prospecter de nouveaux clients potentiels
4750821	Mener un entretien commercial efficace
4750821	Fidéliser des clients
5191546	Rédiger un business plan
5191546	Mener les étapes incontournables d'un business plan
5191546	Construire des projections financières à partir d'un business plan
5258771	Mettre en place un système de management de la qualité ;
5258771	Mettre en place un système de management intégré ;
5258771	Mettre en place une certification liée à une démarche QHSE.
4137661	Identifier vos motivations pour vous lancer en freelance
4137661	Mettre en place les premières étapes pour lancer votre activité et vendre votre expertise
4137661	Trouver et fidéliser vos premiers clients
4137661	Développer votre notoriété sur le Web et les réseaux sociaux
5191526	Identifier ce qui fait la désirabilité d'une entreprise avec le BMC
5191526	Identifier ce qui fait la faisabilité d'une entreprise avec le BMC
5191526	Identifier ce qui fait la viabilité d'une entreprise avec le BMC
5191526	Utiliser efficacement un BMC
4963261	Appréhender le contexte des budgets et des reportings.
4963261	Analyser les coûts et la rentabilité à travers un reporting.
4963261	Anticiper l'avenir grâce à un budget.
6391586	organiser vos actions de prospection avec un outil CRM ;
6391586	gérer votre portefeuille client avec un outil CRM.
5192206	préparer un plan d'action de growth hacking ;
5192206	créer des hacks en appliquant le funnel AARRR ;
5192206	structurer votre méthode de growth hacking.
6380896	mener un entretien de prospection ;
6380896	élaborer un plan de prospection en adoptant les bonnes pratiques ;
6380896	suivre vos campagnes de prospection.
5177201	respecter vos obligations de travailleur indépendant en déclarant votre activité aux différentes administration, et en payant les cotisations requises ;
5177201	sélectionner un statut adapté à votre activité de freelance ;
5177201	optimiser vos impôts et votre revenu net parmi les différents choix possibles pour votre activité.
5185316	respecter vos obligations comptables de freelance,
5185316	tenir votre comptabilité,
5185316	facturer et vous faire payer par vos clients,
5185316	gérer votre trésorerie.
6316366	Identifier des opportunités de fidélisation ;
6316366	Développer une expérience client irréprochable ;
6316366	Animer un portefeuille clients.
5164356	construire une offre commerciale ;
5164356	fixer le prix de vos services ;
5164356	écrire un plan d'action commercial ;
5164356	créer un fichier de prospection ;
5164356	rédiger une proposition commerciale ;
5164356	maîtriser un cycle de vente de la prospection à la signature.
7783571	identifier vos aspirations en tant que leader ;
7783571	adopter la posture d'un leader ouvert aux autres.
5149176	Élaborer un tableau de trésorerie pour analyser vos besoins.
5149176	Gérer des excédents ou des manques de trésorerie.
5149176	Construire un plan de trésorerie pour anticiper vos besoins.
6911521	identifier les opportunités et les obstacles d'un projet de transformation digitale ;
6911521	valider votre stratégie de transformation digitale ;
6911521	assurer le succès à long terme de vos projets de transformation digitale.
2954186	Construire une matrice de marché potentiel d'un projet existant
2954186	Construire le business model d'une entreprise existante
2954186	Analyser un marché potentiel d'une entreprise existante
2954186	Caractériser le marché d'un projet entrepreneurial
2954186	Maîtriser les bases du prototypage et pivot d'un projet entrepreneurial
2954186	Maîtriser les critères stratégique d'un Business model
7080836	adopter les bons réflexes pour télétravailler ;
7080836	organiser votre temps de travail ;
7080836	collaborer à distance.
6391716	préparer un rendez-vous commercial ;
6391716	mener un rendez-vous commercial ;
6391716	négocier les conditions d'une vente ;
4781491	Appréhender et communiquer les principes du lean startup
4781491	Structurer une idée produit en priorisant ses fonctionnalités
4781491	Construire un prototype fonctionnel sans ressource technique
4781491	Apprendre d'une expérimentation pour valider ou non une hypothèse
3044291	Définir les caractéristiques d'un entrepreneur innovant
3044291	Développer un état d'esprit créatif et innovant
3044291	Appliquer les 5 méthodes de sourcing d'idée génératrice d'opportunité
3044291	Analyser et évaluer des idées en opportunité entrepreneuriale
2954176	Identifier les éléments constituant un Business plan
2954176	Réaliser des projections financières
2954176	Appliquer les méthodes de modalisation d'un marché adressable à partir de calculs
2954176	"Déterminer la structure de coût d'un modèle de vente """
2954176	Pitcher à l'oral un projet entrepreneurial
2954146	concevoir un projet de crowdfunding pertinent et efficace ;
