topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
1	530	passeport-numerique		Passeport numérique	Maîtriser les compétences numériques professionnelles pour faire décoller votre carrière.	fr	Certification OpenClassrooms	3	0		https://oc-static.imgix.net/prod/images/paths/illustrations/530/16345667882826_office%20tech_passeportnumerique-min.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/530-passeport-numerique	
1	577	clea-numerique		CléA numérique	Assimilez les COMPÉTENCES NUMÉRIQUES PROFESSIONNELLES FONDAMENTALES pour améliorer votre employabilité.	fr	Certification CléA numérique	2	0		https://oc-static.imgix.net/prod/images/paths/illustrations/577/1643627973676_offcice_tech_Cle%CC%81A-Nume%CC%81rique%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/577-clea-numerique	
2	218	createur-dentreprise		Créateur d'entreprise	Lancez votre activité pas à pas en apprenant les différentes étapes de création d'une entreprise.	fr	Certification Répertoire Spécifique	4	0		https://oc-static.imgix.net/prod/images/paths/illustrations/218/15937857797784_creator_company_218.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/218-createur-dentreprise	
2	106	manager-operationnel		Manager opérationnel	Animez et pilotez votre équipe, en lien avec les objectifs stratégiques de l'entreprise.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/ENTREPRENEUR_OPERTATIONALMAANGER.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/106-manager-operationnel	https://www.francecompetences.fr/recherche/rncp/30086/D1407
2	536	attache-commercial		Attaché commercial	Développez le chiffre d'affaires de votre entreprise en intervenant sur toutes les étapes du cycle de vente.	fr	Diplôme de niveau 5 (bac +2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/536/16351457237381_16008545348882_15683051594647_BUISNESS_COMMERCIAL_AFFAIRS.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/536-attache-commercial	https://www.francecompetences.fr/recherche/rncp/36022/
3	102	responsable-en-securite-des-systemes-dinformation		Responsable en sécurité des systèmes d'information	Mettez en œuvre une stratégie de cybersécurité dans votre entreprise et déployez-la en continu	fr	Diplôme de niveau 7 (bac +5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/LOCK.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/102-responsable-en-securite-des-systemes-dinformation	https://www.francecompetences.fr/recherche/rncp/34026/
4	592	business-intelligence-analyst		Business Intelligence Analyst	Créez des outils d’analyse et facilitez la prise de décision en entreprise	fr	Diplôme de niveau 6 (bac +3/4)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/592/16627318608543_BUSINESS_BusinessIntelligenceAnalyst.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/592-business-intelligence-analyst	https://www.francecompetences.fr/recherche/rncp/34964/
4	324	data-analyst		Data Analyst	Découvrez pas à pas le monde de la Data Science : préparez, analysez et modélisez des données.	fr	Diplôme de niveau 6 (bac +3/4)	12	0	 l’ENSAE	https://oc-static.imgix.net/prod/images/paths/illustrations/324/1605605590437_DATA_Analyst%20%281%29%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/324-data-analyst	https://www.francecompetences.fr/recherche/rncp/34964/
4	164	data-scientist		Data Scientist	Analysez des données pour identifier des tendances et faire des prédictions... Maîtrisez la Data Science !	fr	Diplôme de niveau 7 (bac +5)	9	0	 CentraleSupélec	https://oc-static.imgix.net/prod/images/paths/illustrations/164/15656842041779_DATA_Scientist.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/164-data-scientist	https://certificationprofessionnelle.fr/recherche/rncp/34545
4	148	ingenieur-machine-learning		Ingénieur Machine Learning	Vous avez les bases en Data Science ? Approfondissez votre maîtrise du Machine Learning.	fr	Diplôme de niveau 7 (bac +5)	6	0	 CentraleSupélec	https://oc-static.imgix.net/prod/images/paths/illustrations/148/15656844976127_DATA_Machine_learning.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/148-ingenieur-machine-learning	https://certificationprofessionnelle.fr/recherche/rncp/34545
4	188	ingenieur-ia		Ingénieur IA	Développez et intégrez des algorithmes de Deep Learning au sein d’un produit IA	fr	Diplôme de niveau 7 (bac +5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/188/15693185659101_DATA_IA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/188-ingenieur-ia	https://certificationprofessionnelle.fr/recherche/rncp/34545
