course_id	part_number	part_name	part_title	part_description	part_url
4929811	1		Prenez en main votre fichier Excel		
4929811	2		Travaillez sur votre fichier Excel		
4929811	3		Manipulez des données sur Excel		
5870121	1		Préparez vos contenus et prenez en main les outils		
5870121	2		Créez et présentez votre diaporama		
5870066	1		Maîtrisez les fondamentaux d’un traitement de texte		
5870066	2		Utilisez les fonctionnalités de base du traitement de texte		
5870066	3		Optimisez votre productivité		
5737801	1		Utilisez du matériel informatique		
5737801	2		Repérez-vous sur votre ordinateur		
5737801	3		Créez du contenu sur votre ordinateur		
5870011	1		Utilisez des services en ligne		
5870011	2		Utilisez un moteur de recherche pour trouver de l’information		
5870206	1		Identifiez le danger sur Internet ou dans un email		
5870206	2		Protégez votre vie privée et votre réputation en ligne		
5870206	3		Utilisez différents outils de sécurisation pour votre environnement numérique		
5870131	1		Découvrez les outils digitaux de communication et de collaboration		
5870131	2		Exprimez-vous en ligne		
5870131	3		Collaborez en ligne		
7168336	1		Prenez en main votre fichier Excel		
7168336	2		Travaillez sur votre fichier Excel		
7168336	3		Manipulez des données sur Excel		
825502	1		Prise en main d'Excel		
825502	2		Analyse des données et dynamisme du classeur		
825502	3		Les bases du langage VBA		
825502	4		Interagir avec l'utilisateur		
825502	5		Annexes		
4750821	1		Prospectez et développez votre base de clients		
4750821	2		Menez des échanges commerciaux jusqu'à la signature		
4750821	3		Mesurez vos résultats et fidélisez vos clients		
4750821	4		Découvrez le métier de commercial chargée d'affaires		
5191546	1		Préparez votre business plan		
5191546	2		Menez les étapes clés du business plan		
5191546	3		Construisez des projections financières		
4137661	1		Lancez-vous en tant que freelance		
4137661	2		Trouvez et fidélisez vos clients		
4137661	3		Communiquez votre expertise efficacement		
4137661	4		Gérez et développez votre activité		
3807356	1		Devenez auto-entrepreneur		
3807356	2		Gérez votre auto-entreprise		
5258771	1		Mettez en place un système de management de la qualité		
5258771	2		Mettez en place un système de management intégré		
5258771	3		Certifiez votre organisation		
5191526	1		Indiquez votre désirabilité dans votre BMC		
5191526	2		Indiquez votre faisabilité dans votre BMC		
