path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
218	0	1		Validez une proposition de valeur claire	Lancez-vous dans la réalisation de vos premiers livrables indispensables pour valider votre proposition de valeur.	60		
218	0	2		Créez votre business plan 1/2	Créez les premiers éléments de votre business plan : votre équipe, votre plan marketing et votre plan d'actions commerciales.	40		
218	0	3		Créez votre business plan 2/2	Finalisez votre business plan en intégrant votre plan de financement, vos statuts d'entreprise et votre executive summary.	50		
218	0	4		Déployez vos actions marketing et commerciales	Créez vos supports marketing et commerciaux et allez à la rencontre de vos futurs clients, prestataires et partenaires.	70		
218	0	5		Pilotez votre activité	Gérez les tâches administratives et comptable de votre entreprise au quotidien et assurez-vous de sa performance.	50		
106	0	1		Démarrez votre formation de manager opérationnel	Vous embarquez sur un grand parcours d'apprentissage. Ce premier projet va vous y préparer !	20		
106	0	2		Analysez un positionnement et faites des recommandations stratégiques	Vous avez décroché un entretien pour rejoindre Blablacar. Montrez que vous connaissez ce secteur et pouvez faire des recommandations stratégiques adaptées à cette entreprise !	60		
106	0	3		Élaborez un tableau de bord financier pour une coopérative	Des salariés viennent de reprendre une entreprise en coopérative. Aidez-les à créer des indicateurs de performance pour réaliser un suivi financier efficace !	70		
106	0	4		Analysez le fonctionnement d'une équipe opérationnelle	Observez une équipe sur le terrain et concevez une nouvelle organisation pour un magasin, en réalisant toutes les étapes du recrutement !	70		
106	0	5		Agissez pour la qualité de vie au travail	Une entreprise connaît une amplification de l'absentéisme. On fait donc appel à vous pour proposer une démarche de prévention concrète, ainsi qu'une action de formation !	50		
106	0	6		Réalisez un plan d'action pour une démarche environnementale dans l'entreprise	Mettez en place une démarche environnementale dans votre entreprise, en impliquant tous les salarié·e·s, et en vous appuyant sur les instances représentatives du personnel !	60		
106	0	7		Positionnez-vous en tant que leader dans votre équipe	Un conflit a lieu entre deux membres de votre équipe. Il vous faut donc analyser la situation, préparer des entretiens pour gérer ce conflit et prévoir une évolution de l'organisation plus favorable au bien-être !	70		
106	0	8		Gérez la communication d'un projet associatif	Vous voulez créer une association pour favoriser le lien social autour du sport. À vous de créer une communication interne et externe adaptée à vos besoins, en vue de convaincre un investisseur anglophone !	80		
