topic_id	topic_name	topic_html_name	topic_color
1	Bureautique	Bureautique	#7451eb
2	Business	Business	#0026ca
3	Data	Data	#004d40
4	Design	Design	#d81b60
5	Développement	Développement	#00838f
6	Gestion de projet	Gestion de projet	#512da8
7	Insertion professionnelle	Insertion professionnelle	#ab47bc
8	Marketing & Communication	Marketing &amp; Communication	#304ffe
9	Pédagogie	Pédagogie	#f44336
10	RH & Gestion	RH &amp; Gestion	#140078
11	Soft skills	Soft skills	#795548
12	Systèmes & Réseaux	Systèmes &amp; Réseaux	#0277bd
13	Autres	Autres	#7451eb
