path_id	skill
530	Utiliser les fonctionnalités de base de votre ordinateur
530	Naviguer efficacement sur internet
530	Créer du contenu sur différents logiciels courants
530	Communiquer en utilisant les outils digitaux
530	Sécuriser votre environnement numérique de travail
530	Résoudre un problème technique simple en autonomie
218	Adopter la posture d'un entrepreneur
218	Valider une proposition de valeur claire
218	Créer un business plan
218	Développer sa présence online et offline
218	Trouver ses premiers clients et partenaires
218	Assurer la gestion administrative et comptable
218	Suivre la performance et piloter son activité
106	Manager une équipe au quotidien
106	Élaborer et piloter un projet
106	Réaliser la gestion financière en suivant des indicateurs de performance
106	Contribuer à définir la politique commerciale
106	Concevoir une communication digitale
106	Gérer administrativement son équipe
536	Adopter la posture du commercial à l’heure du digital
536	Organiser son activité commerciale
536	Prospecter pour trouver de nouveaux clients
536	Maîtriser un pitch commercial
536	Réaliser une vente, de l’entretien à la signature du contrat
536	Développer et gérer un portefeuille clients après la vente
536	Utiliser un CRM et les outils digitaux utiles au commercial
324	Aider à la prise de décision, en vue d’améliorer la stratégie de l'entreprise.
324	Interroger des bases de données afin de récupérer les données pertinentes.
324	Créer des dashboards comprenant des graphiques et indicateurs pertinents.
324	Collecter, agréger et nettoyer des données en vue de vos analyses.
324	Explorer des données, tester des hypothèses statistiques et modéliser des phénomènes.
164	Collecter et préparer les données en vue de l’analyse
164	Programmer des algorithmes de Machine Learning à l’aide du langage Python
164	Déployer des algorithmes dans le cloud avec les outils du Big Data
164	Communiquer les résultats à des spécialistes ou des néophytes
148	Programmer des algorithmes de Machine Learning.
148	Entraîner des réseaux de neurones profonds.
148	Modéliser des données complexes, comme des images et des textes.
148	Mener un projet de recherche et réaliser une preuve de concept (POC).
188	Appliquer les bases de la Data Science, comme la collecte et la préparation des données.
188	Programmer des algorithmes de Machine Learning et de Deep Learning.
188	Développer vos modèles grâce aux services Microsoft Azure.
188	Déployer vos algorithmes en production sur le cloud.
188	Superviser la conception d’un produit IA.
97	Appliquer la démarche UX
97	Élaborer une stratégie UX
97	Mener une étude utilisateurs
97	Alimenter une conception d'interface web / mobile / métier
97	Réaliser une interface web / mobile / métier
97	Mettre en œuvre la démarche UX dans une équipe projet
97	Promouvoir son travail au sein de la communauté UX
556	découper, assembler et intégrer tous les éléments d’une maquette graphique en HTML5 et CSS ;
556	ajouter du contenu audio et vidéo en HTML5 ;
556	animer les pages web avec CSS3 ;
556	appliquer les standards du web et les normes en vigueur ;
556	construire un site web fluide s’adaptant à tout type d’écran (web, smartphone et tablette) ;
556	améliorer le référencement naturel en utilisant les balises selon leur sémantique ;
556	faire réagir la page web en fonction des actions de l’utilisateur en JavaScript ;
556	se connecter à un service web pour exploiter des données tierces (API) ;
556	gérer les comptes utilisateurs ;
556	concevoir un site maintenable grâce à la gestion des erreurs et exceptions ;
556	créer, gérer et afficher le contenu d’une base de données.
410	extraire les besoins d'un client ; 
410	faire l'audit d'une architecture existante ; 
410	chercher et présenter des solutions d'architecture ; 
410	analyser une dette technique ; 
410	créer la roadmap d'une architecture ; 
410	définir des tests orientés business et des frameworks de gouvernance de l'architecture ;
410	développer un POC (Proof of Concept) ;
410	gérer les changements de direction et les besoins d'un projet pendant son cycle de vie...
500	Analyser un cahier des charges et choisir une solution technique adaptée parmi les solutions existantes
500	Concevoir l’architecture technique d’une application à l’aide de diagrammes UML
500	Créer des projets web dynamiques grâce PHP
500	Communiquer avec une base de données pour stocker et requêter des informations
500	Développer de manière professionnelle grâce au framework Symfony
500	Mettre en oeuvre des tests unitaires et fonctionnels ainsi qu’utiliser les outils les plus connus d’intégration continue
500	Produire une documentation technique et fonctionnelle de l’application
500	Prendre en compte les problématiques de performance d’une application PHP
501	Analyser un cahier des charges et choisir une solution technique adaptée parmi les solutions existantes
501	Concevoir l’architecture technique d’une application à l’aide de diagrammes UML
501	Créer des applications iPhone grâce à Swift et Xcode
501	Communiquer avec une base de données pour stocker et requêter des informations
501	Mettre en oeuvre des test unitaires et des tests d'intégration
501	Produire une documentation technique et fonctionnelle de l’application
501	Utilisez le réseau pour obtenir des informations
501	Comprendre et appliquer des designs patterns pour assurer la stabilité de vos applications
511	Analyser un cahier des charges et choisir une solution technique ;
511	Concevoir l’architecture technique d’une application ;
511	Créer des applications Android grâce au langage Java ;
511	Communiquer avec une base de données ;
511	Mettre en œuvre des tests unitaires, des tests d'intégration et des tests d'interface ;
511	Produire une documentation technique et fonctionnelle de l’application.
512	Les compétences d'administrateur Salesforce :
512	rester à jour avec les innovations de Salesforce ;
512	utiliser un logiciel de CRM pour améliorer l'efficacité d'une entreprise ;
512	proposer des solutions adaptées aux besoins des clients de Salesforce.
512	Les compétences de développeur web :
512	construire des applications en utilisant HTML, CSS, JavaScript et Java ;
512	appliquer les pratiques de test et de débogage d'applications ;
512	assurer la sécurité d'une application web.
512	Les compétences qui sont spécifiques aux développeurs Salesforce :
