topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
1	530	competences-numeriques-fondamentales-pour-les-professionnels		Passeport numérique	Prenez en main les outils numériques qui feront avancer votre carrière.	fr	Certification OpenClassrooms	2	0		https://oc-static.imgix.net/prod/images/paths/illustrations/530/16345667882826_office%20tech_passeportnumerique-min.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/530-competences-numeriques-fondamentales-pour-les-professionnels	
2	218	createur-de-pme		Créateur d'entreprise	Lancez votre activité pas à pas en apprenant les différentes étapes de création d'une entreprise.	fr	Certification OpenClassrooms	4	0		https://oc-static.imgix.net/prod/images/paths/illustrations/218/15937857797784_creator_company_218.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/218-createur-de-pme	
2	106	manager-operationnel		Manager opérationnel	Animez et pilotez votre équipe, en lien avec les objectifs stratégiques de l'entreprise.	fr	Licence (Bac+3)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/ENTREPRENEUR_OPERTATIONALMAANGER.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/106-manager-operationnel	https://www.certificationprofessionnelle.fr/recherche/rncp/30086
2	536	attache-commercial-1		Attaché commercial	Développez le chiffre d'affaires de votre entreprise en intervenant sur toutes les étapes du cycle de vente.	fr	Diplôme niveau 5 (Bac+2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/536/16351457237381_16008545348882_15683051594647_BUISNESS_COMMERCIAL_AFFAIRS.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/536-attache-commercial-1	https://www.francecompetences.fr/recherche/rncp/36022/
3	324	data-analyst-v2		Data Analyst	Découvrez pas à pas le monde de la Data Science : préparez, analysez et modélisez des données.	fr	Diplôme niveau 6 (Bac+3/4)	12	0	 l’ENSAE	https://oc-static.imgix.net/prod/images/paths/illustrations/324/1605605590437_DATA_Analyst%20%281%29%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/324-data-analyst-v2	https://www.francecompetences.fr/recherche/rncp/34964/
3	164	data-scientist-v2		Data Scientist	Analysez des données pour identifier des tendances et faire des prédictions... Maîtrisez la Data Science !	fr	Diplôme niveau 7 (Bac+5)	9	0	 CentraleSupélec	https://oc-static.imgix.net/prod/images/paths/illustrations/164/15656842041779_DATA_Scientist.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/164-data-scientist-v2	https://certificationprofessionnelle.fr/recherche/rncp/34545
3	148	ingenieur-machine-learning		Ingénieur Machine Learning	Vous avez les bases en Data Science ? Approfondissez votre maîtrise du Machine Learning.	fr	Diplôme niveau 7 (Bac+5)	6	0	 CentraleSupélec	https://oc-static.imgix.net/prod/images/paths/illustrations/148/15656844976127_DATA_Machine_learning.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/148-ingenieur-machine-learning	https://certificationprofessionnelle.fr/recherche/rncp/34545
3	188	ingenieur-ia		Ingénieur IA	Développez et intégrez des algorithmes de Deep Learning au sein d’un produit IA	fr	Diplôme niveau 7 (Bac+5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/188/15693185659101_DATA_IA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/188-ingenieur-ia	https://certificationprofessionnelle.fr/recherche/rncp/34545
4	97	ux-designer-1		UX Designer	Améliorez l'expérience de vos utilisateurs en concevant des produits à la fois agréables et ergonomiques !	fr	Diplôme niveau 7 (Bac+5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DESIGN_UX.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/97-ux-designer-1	
5	556	developpeur-web-1		Développeur Web	Faites vos premiers pas dans le monde du développement web : créez des sites web et donnez vie aux maquettes !	fr	Diplôme niveau 5 (Bac+2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/556/16377657289479_WEB_DEV_JR.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/556-developpeur-web-1	https://www.francecompetences.fr/recherche/rncp/36076
